id,name,address,description,latitud,longitud,amenities
B8S7YSLRUBVUO,Agerbæk Børnehus,Debelvej 25,Parkering ved børnehuset.,55.60349,8.811343,[]
B9OXSNAF20Z5S,Agerbæk Torv,Fåborgvej 177,,55.600484,8.8022,"['SHOPPING', 'CAFE']"
Alnasenter,Alna Senter,Strømsveien 245,"Lynladere i 1 etg utendørs parkeringshus ved Meny. AC-ladere øverste etasje utendørs parkeringshus ved Meny.
",59.926581,10.849327,"['RESTROOM', 'SHOPPING', 'CAFE']"
B8GEWDTNZ8LXC,Alstad Kro og Camping,Alstad 1,,68.272286,13.936212,"['RESTROOM', 'REST_STOP', 'RESTAURANT', 'ACCOMMODATION', 'TRUCK', 'WIFI', 'CAFE', 'CAR_TRAILER']"
BA3I6G2IEG4CG,Altdorf,Prackenfelser Str. 8,,49.381735,11.344057,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'WIFI', 'CAFE', 'CAR_TRAILER']"
Alti-Brotorvet,Alti Brotorvet,Gangveien 10,,59.046011,9.694568,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE']"
BAKY63AK4WMWW,Alti Farmandstredet,Jernbanegaten 1D,Ladestasjonen er i øverste etasje i parkeringshuset. Se Aimo Park for åpningstider. ,59.26925,10.413556,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE']"
Alti-Futura,"Alti Futura, Kristiansund",Industriveien 17,,63.110681,7.779991,"['RESTROOM', 'SHOPPING', 'CAFE', 'CAR_TRAILER']"
B9KADFELASW74,Alti Førde,Naustdalsvegen 4,Laderne befinner seg i andre etasje i parkeringsanlegget på senteret.,61.453011,5.851308,"['RESTROOM', 'SHOPPING', 'CAFE']"
B85C94RD1TWQO,Alti Heim,Industriveien 1,,63.293651,9.082761,"['RESTROOM', 'SHOPPING', 'CAFE', 'CAR_TRAILER']"
B89PIFW62O000,Alti Kragerø,Kjølebrøndsveien 1,,58.894463,9.283122,"['RESTROOM', 'SHOPPING', 'WIFI', 'CAFE', 'CAR_TRAILER']"
B97SNJ7FVYM80,Alti Lyngdal,Fiboveien 1,,58.155522,7.100158,[]
B7V0FSHHQSZCW,Alti Magneten,Moafjæra 14,,63.7336,11.282739,"['RESTROOM', 'SHOPPING', 'CAFE', 'CAR_TRAILER']"
Alti-Mandal,Alti Mandal,Skarvøyveien 55 ,"Noen kan oppleve dårlig mobildekning i P-huset. Ved problemer med start/stopp av lading, gå mot utkjørsel og prøv igjen.",58.028529,7.461679,"['RESTROOM', 'REST_STOP', 'RESTAURANT', 'ACCOMMODATION', 'SHOPPING', 'WIFI', 'CAFE']"
B8D1UT4R90OAO,Alti Nerstranda,Strandgata 9,Ladere plassert i Nerstranda p-hus. Parkeringsavgift kommer i tillegg,69.64651,18.953944,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'CAFE']"
Alti-Nordbyen,Alti Nordbyen,Yttersøveien 2,,59.068016,10.045077,"['RESTROOM', 'RESTAURANT', 'SHOPPING', 'TRUCK', 'CAFE', 'CAR_TRAILER']"
